Municipality   ,Population     ,Males     ,Females   ,0-4       ,5-9       ,10-14     ,15-19     ,20-24     ,25-29     ,30-34     ,35-39     ,40-44     ,45-49     ,50-54     ,55-59     ,60-64     ,65-69     ,70-74     ,75-79     ,80+       
25120          ,4478           ,2149      ,2329      ,509       ,478       ,457       ,393       ,402       ,286       ,296       ,327       ,317       ,249       ,227       ,196       ,114       ,68        ,78        ,41        ,40        
25123          ,9811           ,5137      ,4674      ,1038      ,1056      ,1030      ,1011      ,976       ,865       ,596       ,641       ,567       ,547       ,439       ,296       ,208       ,175       ,156       ,106       ,104       
25126          ,58036          ,29039     ,28997     ,4836      ,5088      ,5321      ,5122      ,5085      ,5409      ,4785      ,3937      ,3531      ,3580      ,3337      ,2551      ,1846      ,1402      ,927       ,638       ,641       
25148          ,16710          ,9008      ,7702      ,1524      ,1414      ,1413      ,1357      ,1423      ,1356      ,900       ,793       ,891       ,992       ,946       ,924       ,766       ,632       ,544       ,423       ,412       
25151          ,17129          ,8754      ,8375      ,1489      ,1477      ,1451      ,1423      ,1435      ,1588      ,1209      ,997       ,942       ,989       ,964       ,864       ,689       ,507       ,425       ,330       ,350       
25154          ,9191           ,4580      ,4611      ,767       ,774       ,744       ,771       ,769       ,760       ,653       ,578       ,550       ,571       ,537       ,473       ,379       ,275       ,228       ,174       ,188       
25168          ,3979           ,2081      ,1898      ,394       ,364       ,353       ,354       ,370       ,340       ,275       ,233       ,207       ,215       ,198       ,164       ,136       ,114       ,106       ,81        ,75        
25175          ,129652         ,62355     ,67297     ,10326     ,10570     ,10881     ,10648     ,10834     ,11718     ,10194     ,8656      ,7764      ,8036      ,8174      ,6662      ,5068      ,3704      ,2634      ,1841      ,1942      
25178          ,8400           ,4377      ,4023      ,820       ,804       ,794       ,719       ,678       ,674       ,506       ,446       ,476       ,499       ,493       ,387       ,302       ,253       ,197       ,165       ,187       
25181          ,10680          ,5551      ,5129      ,1003      ,1007      ,1001      ,860       ,863       ,857       ,619       ,577       ,579       ,621       ,576       ,502       ,417       ,359       ,299       ,261       ,279       
25183          ,25895          ,13133     ,12762     ,2432      ,2305      ,2255      ,2190      ,2306      ,2031      ,1548      ,1425      ,1370      ,1449      ,1369      ,1221      ,1042      ,895       ,737       ,634       ,686       
25200          ,22786          ,11411     ,11375     ,2046      ,2034      ,2068      ,2076      ,2080      ,1941      ,1611      ,1443      ,1404      ,1425      ,1321      ,1026      ,693       ,537       ,408       ,328       ,345       
25214          ,25432          ,12520     ,12912     ,2126      ,2160      ,2217      ,2150      ,2239      ,2319      ,1984      ,1798      ,1678      ,1544      ,1342      ,1186      ,944       ,650       ,477       ,327       ,291       
25224          ,7521           ,3919      ,3602      ,858       ,839       ,824       ,690       ,682       ,656       ,588       ,450       ,370       ,345       ,299       ,277       ,203       ,171       ,111       ,75        ,83        
25245          ,21949          ,10823     ,11126     ,1710      ,1758      ,1793      ,1836      ,1916      ,1734      ,1657      ,1557      ,1443      ,1558      ,1479      ,1209      ,852       ,571       ,372       ,253       ,251       
25258          ,4807           ,2328      ,2479      ,391       ,369       ,353       ,385       ,426       ,375       ,264       ,254       ,261       ,277       ,274       ,252       ,227       ,199       ,174       ,158       ,168       
25260          ,17648          ,8914      ,8734      ,1767      ,1779      ,1807      ,1760      ,1613      ,1486      ,1439      ,1358      ,1181      ,1003      ,801       ,547       ,433       ,279       ,174       ,110       ,111       
25269          ,134522         ,67155     ,67367     ,11955     ,12206     ,12434     ,11792     ,11359     ,12309     ,11145     ,9682      ,8154      ,7864      ,7254      ,5870      ,4222      ,3097      ,2071      ,1540      ,1568      
25279          ,12234          ,6398      ,5836      ,1041      ,1001      ,963       ,957       ,1004      ,1106      ,917       ,805       ,706       ,649       ,661       ,595       ,510       ,417       ,349       ,259       ,294       
25281          ,7630           ,3895      ,3735      ,727       ,726       ,730       ,735       ,706       ,677       ,550       ,475       ,434       ,424       ,412       ,290       ,232       ,186       ,136       ,87        ,103       
25286          ,76742          ,36942     ,39800     ,6695      ,6617      ,6753      ,6707      ,6755      ,7102      ,5991      ,5636      ,5074      ,5109      ,4386      ,3316      ,2357      ,1733      ,1092      ,745       ,674       
25288          ,5669           ,2850      ,2819      ,539       ,514       ,513       ,489       ,521       ,516       ,385       ,332       ,323       ,308       ,291       ,232       ,178       ,163       ,137       ,106       ,122       
25290          ,137164         ,67806     ,69358     ,10706     ,10629     ,10762     ,9695      ,11305     ,12821     ,10338     ,8179      ,7075      ,7334      ,7515      ,7092      ,6156      ,5220      ,4494      ,3702      ,4141      
25293          ,5701           ,2808      ,2893      ,650       ,622       ,616       ,575       ,537       ,464       ,424       ,371       ,323       ,316       ,246       ,183       ,127       ,87        ,65        ,47        ,48        
