"id","dept","muni","mpios"
"379","SANTANDER","CONFINES","68209"
"380","SANTANDER","OCAMONTE","68498"
"381","ANTIOQUIA","MEDELLIN","05001"
"382","ANTIOQUIA","SAN VICENTE","05674"
"383","SANTANDER","COROMORO","68217"
"384","SANTANDER","CONTRATACION","68211"
"385","SANTANDER","LA PAZ","68397"
"386","SANTANDER","CHARALA","68167"
"387","BOYACA","SOATA","15753"
"388","SANTANDER","GUAPOTA","68322"
"389","ANTIOQUIA","PEOL","05541"
"390","CHOCO","QUIBDO","27001"
"391","BOYACA","LA UVITA","15403"
"392","SANTANDER","OIBA","68500"
"393","ANTIOQUIA","SAN CARLOS","05649"
"394","ANTIOQUIA","GUARNE","05318"
"395","SANTANDER","EL GUACAMAYO","68245"
"396","VICHADA","PUERTO CARREO","99001"
"397","SANTANDER","GUADALUPE","68320"
"398","ANTIOQUIA","GUATAPE","05321"
"399","ANTIOQUIA","BETULIA","05093"
"400","ANTIOQUIA","HELICONIA","05347"
"401","BOYACA","CHITA","15183"
"402","BOYACA","SUSACON","15774"
"403","SANTANDER","BOLIVAR","68101"
"404","ANTIOQUIA","PUERTO NARE","05585"
"405","BOYACA","PUERTO BOYACA","15572"
"406","CASANARE","HATO COROZAL","85125"
"407","ANTIOQUIA","MARINILLA","05440"
"408","ANTIOQUIA","ARMENIA","05059"
"409","ANTIOQUIA","RIONEGRO","05615"
"410","CASANARE","LA SALINA","85136"
"411","ANTIOQUIA","GRANADA","05313"
"412","ANTIOQUIA","RETIRO","05607"
"413","SANTANDER","AGUADA","68013"
"414","ANTIOQUIA","ITAGUI","05360"
"415","ANTIOQUIA","ENVIGADO","05266"
"416","VICHADA","LA PRIMAVERA","99524"
"417","ANTIOQUIA","ANGELOPOLIS","05036"
"418","SANTANDER","ENCINO","68264"
"419","ANTIOQUIA","LA ESTRELLA","05380"
"420","SANTANDER","SUAITA","68770"
"421","BOYACA","JERICO","15368"
"422","SANTANDER","EL PEON","68250"
"423","ANTIOQUIA","CONCORDIA","05209"
"424","ANTIOQUIA","SABANETA","05631"
"425","ANTIOQUIA","EL SANTUARIO","05697"
"426","BOYACA","SATIVANORTE","15720"
"427","SANTANDER","SAN BENITO","68673"
"428","BOYACA","TUTAZA","15839"
"429","ANTIOQUIA","TITIRIBI","05809"
"430","ANTIOQUIA","EL CARMEN DE VIBORAL","05148"
"431","ANTIOQUIA","SAN LUIS","05660"
"432","BOYACA","SOCOTA","15755"
"433","ANTIOQUIA","CALDAS","05129"
"434","SANTANDER","CHIPATA","68179"
"435","ANTIOQUIA","SALGAR","05642"
"436","CASANARE","SACAMA","85315"
"437","SANTANDER","SUCRE","68773"
"438","ANTIOQUIA","COCORNA","05197"
"439","CASANARE","PAZ DE ARIPORO","85250"
"440","BOYACA","SANTANA","15686"
"441","ANTIOQUIA","AMAGA","05030"
"442","BOYACA","SATIVASUR","15723"
"443","SANTANDER","GUEPSA","68327"
"444","BOYACA","PAZ DE RIO","15537"
"445","ANTIOQUIA","LA CEJA","05376"
"446","CHOCO","ALTO BAUDO","27025"
"447","BOYACA","SOCHA","15757"
"448","ANTIOQUIA","LA UNION","05400"
"449","BOYACA","BELEN","15087"
"450","BOYACA","CHITARAQUE","15185"
"451","BOYACA","SAN JOSE DE PARE","15664"
"452","ANTIOQUIA","PUERTO TRIUNFO","05591"
"453","CASANARE","TAMARA","85400"
"454","SANTANDER","GAMBITA","68298"
"455","ANTIOQUIA","VENECIA","05861"
"456","CHOCO","NUQUI","27495"
"457","SANTANDER","BARBOSA","68077"
"458","SANTANDER","LA BELLEZA","68377"
"459","ANTIOQUIA","SANTA BARBARA","05679"
"460","SANTANDER","GUAVATA","68324"
"461","CHOCO","EL CARMEN DE ATRATO","27245"
"462","BOYACA","CERINZA","15162"
"463","BOYACA","PAIPA","15516"
"464","BOYACA","DUITAMA","15238"
