ID_ESPACIA,AREA_OFICI,ENTIDAD_TE,NOM_DEPART,NOM_MUNICI,COD_DEPTO,R0
20178,1015,Cabecera Municipal,CESAR,CHIRIGUAN,20,2.361094014
20228,914,Cabecera Municipal,CESAR,CURUMAN,20,1.422430377
20310,76,Cabecera Municipal,CESAR,GONZLEZ,20,0.033130707
54245,1500,Cabecera Municipal,NORTE DE SANTANDER,EL CARMEN,54,0.108662802
54206,907,Cabecera Municipal,NORTE DE SANTANDER,CONVENCIN,54,0.134187757
54800,865,Cabecera Municipal,NORTE DE SANTANDER,TEORAMA,54,0.203272472
54810,2737,Cabecera Municipal,NORTE DE SANTANDER,TIB,54,0.884705006
54720,1435,Cabecera Municipal,NORTE DE SANTANDER,SARDINATA,54,0.408765987
54553,44,Cabecera Municipal,NORTE DE SANTANDER,PUERTO SANTANDER,54,2.740379413
54001,1098,CAP. DEPTO,NORTE DE SANTANDER,CCUTA,54,1.576127512
54261,528,Cabecera Municipal,NORTE DE SANTANDER,EL ZULIA,54,1.11330633
54418,86,Cabecera Municipal,NORTE DE SANTANDER,LOURDES,54,0.018105236
54313,145,Cabecera Municipal,NORTE DE SANTANDER,GRAMALOTE,54,0.027276085
54109,263,Cabecera Municipal,NORTE DE SANTANDER,BUCARASICA,54,0.004937262
54871,396,Cabecera Municipal,NORTE DE SANTANDER,VILLA CARO,54,1.11E-05
54398,248,Cabecera Municipal,NORTE DE SANTANDER,LA PLAYA,54,0.008558561
54670,387,Cabecera Municipal,NORTE DE SANTANDER,SAN CALIXTO,54,0.156048639
54385,666,Cabecera Municipal,NORTE DE SANTANDER,LA ESPERANZA,54,1.186427304
54128,1058,Cabecera Municipal,NORTE DE SANTANDER,CCHIRA,54,0.176475979
54680,170,Cabecera Municipal,NORTE DE SANTANDER,SANTIAGO,54,0.325400789
54874,93,Cabecera Municipal,NORTE DE SANTANDER,VILLA DEL ROSARIO,54,0.616298054
54599,100,Cabecera Municipal,NORTE DE SANTANDER,RAGONVALIA,54,4.51E-05
54347,108,Cabecera Municipal,NORTE DE SANTANDER,HERRN,54,4.48E-08
54820,1486,Cabecera Municipal,NORTE DE SANTANDER,TOLEDO,54,0.034887359
68575,1588,Cabecera Municipal,SANTANDER,PUERTO WILCHES,68,1.84758302
68655,1163,Cabecera Municipal,SANTANDER,SABANA DE TORRES,68,1.707945094
68615,1253,Cabecera Municipal,SANTANDER,RIONEGRO,68,0.99946609
68255,459,Cabecera Municipal,SANTANDER,EL PLAYN,68,0.235189372
68780,368,Cabecera Municipal,SANTANDER,SURAT,68,9.05E-06
68432,61,Cabecera Municipal,SANTANDER,MLAGA,68,3.91E-05
68266,79,Cabecera Municipal,SANTANDER,ENCISO,68,0.003092979
68468,186,Cabecera Municipal,SANTANDER,MOLAGAVITA,68,0.017826606
68684,80,Cabecera Municipal,SANTANDER,SAN JOS DE MIRANDA,68,0.0108957
68498,74,Cabecera Municipal,SANTANDER,OCAMONTE,68,0.016231651
68533,74,Cabecera Municipal,SANTANDER,PRAMO,68,0.006824472
68855,82,Cabecera Municipal,SANTANDER,VALLE DE SAN JOS,68,0.01114733
68679,150,Cabecera Municipal,SANTANDER,SAN GIL,68,0.060775785
68051,170,Cabecera Municipal,SANTANDER,ARATOCA,68,0.08109158
68370,33,Cabecera Municipal,SANTANDER,JORDN,68,0.534920573
68895,363,Cabecera Municipal,SANTANDER,ZAPATOCA,68,0.357896648
68081,1274,Cabecera Municipal,SANTANDER,BARRANCABERMEJA,68,1.640273928
