"k","k_scale","rho","dispersion","tm_ini","loc_ini","tm_ini2","loc_ini2","sn1","sn2","sn3"
191.720460479034,2.05601429027971,0.0165547699515078,0.662716892760569,80,32,63,21,28.2428544193292,3.2484432409784,-0.340428576763602
293.806830206381,4.12151098770275,0.512127186944803,0.358607055787071,65,11,118,14,27.1894405926364,3.13514069412847,0.152412304947024
316.714002671597,3.23100325396619,0.0301615642121826,0.378026011865586,77,11,77,6,29.1454117312907,4.02578196638248,-0.877961315156185
320.377100192745,2.05869993087336,0.557372888521259,0.57673716568388,70,30,80,7,27.2501195445251,3.22182169932993,0.181511729546823
194.37757108636,1.46902376477691,0.273108088550202,0.458972962107509,54,25,135,6,26.8206967338445,3.29500389058608,0.338757641349382
216.866897342372,1.5177467501171,0.0024237289651565,0.171642574016005,63,15,83,26,29.0516778834005,3.88719670317526,-0.570139077797308
181.004203544958,2.29609684582321,0.104085334263087,0.219815015195343,77,26,123,25,27.0732172056839,2.95984647479794,0.329948531355033
205.689500441116,1.84650365609881,0.0487231052651716,0.0630718409689535,79,3,103,23,29.8217001412859,3.53708560380156,-0.848304881095007
222.212300473597,2.11417112133119,0.0193040798713786,0.420920682644116,78,9,91,5,29.6869927557168,3.85594496002146,-1.1548602922402
132.129409159778,5.05682469771083,0.0851582555372198,0.0433962077368051,52,19,95,8,27.2241675126098,3.07557120902471,0.0737774753557544
288.146137970605,1.19652570618195,0.0461891440985086,0.654510945314541,75,21,52,24,26.9802660857787,2.80150881044197,0.416705537656992
163.489781344269,2.2264659169781,0.469845000965553,0.985716043738648,78,19,102,15,29.049293758409,3.17685841118282,-0.490312403477922
211.384618128289,1.0328220744885,0.17092527931894,0.626194127835333,51,25,127,20,29.3041565517443,4.46159131161732,-1.20660639984179
134.63474128243,1.50825273294222,0.0810352801346345,0.357401080895215,80,25,98,2,27.4522206256642,2.67170817571689,0.363886224759473
235.467494937394,0.566452339268358,0.0582916928350081,0.505477454746142,64,23,62,4,30.2686289083119,3.85784467263776,-1.21789081592966
263.964444111454,2.53765354810049,0.129243910475461,0.617768666706979,81,31,54,5,29.5880350720761,3.28046713610176,-0.450367694077887
233.811899224973,0.627025833539274,0.701837532550797,0.272343428977293,80,9,130,20,29.512265143347,3.91970125804947,-1.08336093024362
227.019089055078,1.03791571829241,0.118827927386002,0.318419428881415,57,10,108,26,27.6726546411929,3.30835076257989,0.101468790139512
239.474136986932,3.49094105382253,0.968391388439884,0.505087031354093,63,30,116,23,28.4501760457592,3.43021790434087,-0.207742087742001
257.816165612475,0.682351778316411,0.000191448046924574,0.185756918920856,81,4,92,4,29.7256099678866,3.58883162846646,-0.903491638305905
239.922233538508,0.492080737207239,0.17633195566937,0.327410573605448,55,10,143,25,28.7597544991037,3.79375888068047,-0.472002489544551
215.126623529132,0.688527323934757,0.532342539384504,1.00963445479013,76,16,94,20,26.6642037765534,2.31116034663306,0.875305512856882
168.416943834207,3.61305813943404,0.0104589433863488,0.339806196279824,76,23,109,6,29.2076530847144,3.45334158461474,-0.612531088201972
142.322342056342,2.36056809460332,0.223077491901948,0.169682361248724,73,22,51,7,28.2496874237964,3.8982098126488,-0.49995881233689
215.089677351085,5.34428391850527,0.274954067513719,0.282071002759039,69,16,79,1,29.4168623644677,3.41715395811133,-0.599286228098713
165.75738563889,3.25181339365644,0.00356203622786069,0.141367280794878,73,5,55,11,27.7300542956822,2.71781337338682,0.296176841808028
333.048016232044,0.990837166604099,0.190902624012079,0.0739796257112175,78,13,108,6,28.0370554540568,3.06501865924321,0.0825590058943017
205.010241181816,2.80925302957218,0.126349280652468,0.129671056987718,50,12,118,14,29.990556163988,4.08299916639238,-1.09334145160755
213.133984000264,1.07206672690723,0.974221709807885,0.345064746049945,70,14,116,17,28.2060755776444,3.40510299701691,-0.382072900368658
186.343046093911,2.39985948917677,0.0352695168729014,0.520865420112386,78,25,95,2,28.4657041599743,3.55159675468944,-0.313795716173089
168.8692374271,7.38069617569007,0.0157652096122839,0.0947709103136198,53,27,94,8,28.6582871723996,4.0722784066665,-0.628935462557004
163.205685832358,2.22751622558923,0.00207373870496941,0.439818565966561,65,21,82,7,27.4777883487863,3.37352445154078,-0.166851170279729
312.985861424156,12.5346688213672,0.0842058635309229,0.367758326536672,80,32,99,4,30.7703949508272,3.85501698149326,-1.25334355620004
124.352498589533,1.2934628390745,0.68976318336769,0.405155214248225,81,5,118,9,27.520072841182,3.2088084165975,0.208999350750022
181.723972353163,1.96476494767359,0.00106771297404431,0.290148616205571,79,3,139,11,27.017438051514,3.21834299262142,-0.142577390277405
203.469652373065,3.42313951062092,0.163804510266102,0.289246358700612,63,19,133,2,28.0952179196864,3.49461588991557,-0.348796766422652
172.191754537596,1.55333638833959,0.0394858062370358,0.921767425066626,80,8,53,21,31.2252571219248,3.97180198063091,-1.53237641220047
154.837386084778,2.99323368499125,0.0474360685325441,0.183422117028385,70,24,108,8,30.2771027893658,4.31647219799603,-1.38495236395551
272.966682515454,1.32735315240059,0.308827828039667,0.259126297896728,68,22,139,3,28.928855135101,3.38806464736937,-0.376607547847395
398.769010772284,1.32699623684361,0.558469252037065,0.167113374430483,74,9,80,5,27.8043177598302,3.41241899430736,-0.230590877122495
252.900963447126,3.1977055622675,0.0526767574811445,0.534417916146672,57,22,52,30,28.0874911223213,3.17790897818127,-0.164986485602302
317.533308397769,6.56113571383684,0.152282277309173,0.815951579483226,83,19,91,16,28.7754524072655,3.43316621099607,-0.555927867118965
232.934053150015,3.54045015870374,0.448360211515323,0.112542742913739,65,2,66,30,28.4907177362603,3.08160306038495,-0.152775445105164
272.403433098796,0.6124276188596,0.905456392461351,0.344332693843171,59,12,59,11,30.851738077911,4.25143362619243,-1.63792035898881
227.770832476114,2.21222452310724,0.102160718266368,0.65473099334841,55,3,122,20,27.5402544700225,3.17284690519175,0.0906087253835694
638.645141286137,1.93883614952069,0.0610770663447501,0.693242374819979,80,8,127,18,29.5874898641946,4.1414274927969,-1.19633872394961
207.293103424147,10.0970514634912,0.000432045340801859,0.393872329266742,55,13,93,11,29.8093678219062,3.63055255956903,-0.7620287430194
321.816435632107,0.943352976822727,0.0205728911337749,0.657571357953401,56,15,64,32,28.7948292180554,3.96800973320917,-0.744585382029917
216.76625890725,4.7922310272164,0.0191318640581589,0.525204594479874,57,31,104,11,28.6705673226857,3.17670198466747,-0.24032201721762
235.491953492932,1.51963735151568,0.825772806609379,0.770261859986931,81,13,124,10,28.6571104785863,3.48740187079069,-0.606154566673712
270.336543028612,3.79091569772319,0.426254536271272,0.30759702459909,59,17,109,25,27.5988298315477,3.390619073272,0.00578076421051082
189.257227611643,5.6203700077639,0.754400028654603,0.209545756026189,72,31,130,19,29.6737045338079,3.63479410666986,-0.813751370477385
199.282380021667,2.17262230399409,0.101008106722029,0.206742085283622,77,9,77,19,30.0000611830661,3.80226015835019,-0.882165852184232
237.610399115663,1.61731272725684,0.247328527618197,0.285679810214788,51,21,107,9,28.4268399097763,3.20759317986148,-0.0410642974246066
213.890729833938,1.26277356392723,0.12565071324226,0.112881986657158,67,4,138,29,27.3511296587611,3.40704643643301,-0.0257654956470801
229.745924583008,2.3494483127492,0.0483463137277601,0.261703227295851,73,4,121,11,27.9691293446696,3.73955902112937,-0.407121545992457
216.887665688608,2.52415163829838,0.0207350688383263,0.355686251539737,61,12,88,13,27.0260888202335,3.64331229571341,-0.123805477332138
158.076101910281,2.29190528135125,0.241929739888002,0.995652877725661,73,4,97,30,29.3517914327972,3.75518662032993,-0.84477742884577
173.865731455951,1.03594863727321,0.00528931304657823,0.961019248774809,53,18,113,27,28.2663483078399,3.14507900547201,-0.336042086266468
263.387794582468,2.77270555990183,0.037773532315304,0.383877838728949,80,17,88,15,28.8209407483627,3.6349283665347,-0.649111809310217
198.835095182378,2.13493514507548,0.09449682064702,0.264223758364096,52,11,124,8,29.1985234626676,3.81103376412072,-0.910108374358642
180.526691911042,3.20108301327984,0.590846440171353,0.404929785057902,77,15,86,24,27.6603841935895,3.70576849750353,-0.211262006466039
298.774301955026,4.50271257207967,0.888069437840827,0.19829008417694,77,11,104,23,29.325826066716,3.89722981808448,-1.01172980450384
248.324119469168,1.92468297298322,0.191359804057982,0.752257453976199,53,23,82,11,30.9839821943268,4.38494079159083,-1.73825996679504
258.674410183125,1.69222366655646,0.00623378025207291,0.0739221088588238,83,23,75,30,30.102726771205,4.08577949164822,-1.17630737892324
280.035393259547,4.52164160943723,0.281638233370924,0.445604840253111,53,22,101,18,27.3071624083729,3.50895985884994,0.0235772803007368
150.623717121931,0.655774120192601,0.288481617341137,0.826607222668827,56,8,129,8,26.5458410434957,3.44605173155093,0.0539112814006694
316.326666941587,6.72089532911089,0.0355333928757725,0.153862302001272,75,11,74,19,29.5875231889592,3.2073481428774,-0.489940315948749
252.849652587411,0.49986434092923,0.138838244461454,0.446852929191664,74,28,54,10,29.0939340762961,3.3217087575421,-0.377433003161
338.249606929127,2.74534452379568,0.00225043594057795,0.360640106489882,80,29,87,8,27.3546156297075,3.51008739861747,-0.0736360217069599
189.32238437338,3.16473839089809,0.207088497399151,0.492943435208872,69,19,86,12,27.1561118408114,3.16309592339559,0.218222699932243
230.681054885031,4.81564809053977,0.0111095672602694,0.364758109208196,80,11,56,5,28.4103176233025,3.75739862636485,-0.533807277161194
187.496325407186,3.86667566111396,0.00216546019113829,0.116722133243456,75,23,103,1,28.7382117594155,3.19224875626291,-0.36412896056376
256.473220549885,2.35972558509754,0.0816297637395824,0.366254387190565,81,17,104,22,28.0643282598046,4.02211782316817,-0.794543354268714
217.883605726494,3.50185124100188,0.197731635904763,0.410171140218154,70,25,101,32,27.85766398548,3.07240764424804,0.118096272865827
284.341645469183,3.31863265940738,0.0150338105878586,0.392024961533025,71,9,133,11,27.7379169530376,2.82401980507413,0.057321495085275
170.624417404802,4.70194783706437,0.0698888611287386,0.275075696418958,64,29,63,10,26.8618796579249,2.93781749409197,0.334648937434166
234.002421597368,1.45016212116331,0.109489515294385,0.507324239869353,57,16,104,32,29.9667118364962,3.76863837282772,-1.02678301966397
297.64049178489,2.75698244782309,0.154650540269975,0.775071939919144,61,13,101,11,27.3359271324456,3.52857458055078,-0.0164255308763852
